"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"36","서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","월세","25.8900","202604","28","5,000","70","8","2004","강남대로 256","202605~202805","신규","-","","","아파트"
"37","서울특별시 중구 인현동2가","192-30","0192","0030","인현상가/신성아파트","월세","48.5600","202604","28","3,000","46","10","1968","마른내로 72","202605~202705","갱신","사용","3,000","44","아파트"
"38","서울특별시 중랑구 망우동","608","0608","0000","LH서울양원1단지","월세","44.5500","202604","28","11,790","44","18","2022","양원역로 92","202606~202807","신규","-","","","아파트"
"39","서울특별시 중랑구 상봉동","118-8","0118","0008","상봉동양엔파트","월세","18.2202","202604","28","14,400","16","16","2024","망우로 266","202607~202807","갱신","-","14,400","14","아파트"
"40","서울특별시 중랑구 망우동","608","0608","0000","LH서울양원1단지","월세","14.9600","202604","28","3,563","13","3","2022","양원역로 92","202606~202807","신규","-","","","아파트"
"41","서울특별시 성북구 길음동","1282","1282","0000","길음뉴타운5단지(래미안)","월세","84.9600","202604","28","40,000","92","19","2006","길음로 74","202606~202806","갱신","사용","40,000","80","아파트"
"42","서울특별시 중랑구 상봉동","118-8","0118","0008","상봉동양엔파트","월세","18.0282","202604","28","7,200","45","20","2024","망우로 266","202607~202807","갱신","-","7,200","43","아파트"
"43","서울특별시 중랑구 상봉동","118-8","0118","0008","상봉동양엔파트","월세","18.2202","202604","28","14,300","2","5","2024","망우로 266","202607~202807","갱신","-","14,300","0","아파트"
"44","서울특별시 동대문구 이문동","149-8","0149","0008","이문아이파크자이","전세","41.6000","202604","28","32,214","0","26","2025","이문로 120","202605~202807","신규","-","","","아파트"
"45","서울특별시 동대문구 이문동","149-8","0149","0008","이문아이파크자이","전세","41.6000","202604","28","32,214","0","23","2025","이문로 120","202605~202807","신규","-","","","아파트"
"46","서울특별시 동대문구 이문동","149-8","0149","0008","이문아이파크자이","전세","41.6000","202604","28","32,214","0","12","2025","이문로 120","202605~202807","신규","-","","","아파트"
"47","서울특별시 중랑구 신내동","657","0657","0000","신내9진흥","전세","39.8400","202604","28","23,000","0","14","1996","신내로 127","202605~202805","갱신","-","20,000","0","아파트"
"48","서울특별시 도봉구 방학동","271-1","0271","0001","신동아아파트1","전세","43.3500","202604","28","20,000","0","12","1988","시루봉로 107","202607~202807","신규","-","","","아파트"
"49","서울특별시 동대문구 이문동","149-8","0149","0008","이문아이파크자이","전세","41.6000","202604","28","32,214","0","21","2025","이문로 120","202605~202807","신규","-","","","아파트"
"50","서울특별시 동대문구 용두동","26-14","0026","0014","힐스테이트청량리메트로블","전세","44.2455","202604","28","32,682","0","5","2025","고산자로 420","202605~202807","신규","-","","","아파트"
"51","서울특별시 광진구 구의동","611","0611","0000","구의현대2단지","전세","84.7500","202604","28","88,000","0","16","1996","광나루로56길 32","202605~202805","갱신","-","71,000","0","아파트"
"52","서울특별시 중랑구 망우동","608","0608","0000","LH서울양원1단지","월세","44.5500","202604","28","2,042","50","16","2022","양원역로 92","202605~202804","갱신","-","9,088","33","아파트"
"53","서울특별시 중랑구 망우동","608","0608","0000","LH서울양원1단지","월세","44.5500","202604","28","12,642","16","21","2022","양원역로 92","202605~202804","갱신","-","9,088","33","아파트"
"54","서울특별시 중랑구 망우동","608","0608","0000","LH서울양원1단지","월세","14.9600","202604","28","3,563","13","8","2022","양원역로 92","202606~202807","신규","-","","","아파트"
"55","서울특별시 중랑구 망우동","608","0608","0000","LH서울양원1단지","월세","37.6200","202604","28","3,503","24","22","2022","양원역로 92","202605~202804","갱신","-","3,337","23","아파트"
"56","서울특별시 도봉구 창동","30","0030","0000","창동주공18단지","전세","59.3900","202604","28","26,250","0","6","1988","노해로70길 119","202606~202806","갱신","사용","25,000","0","아파트"
"57","서울특별시 동대문구 전농동","10-1","0010","0001","전농SK(임대)","월세","32.7700","202604","28","2,848","7","8","2000","전농로10길 111","202605~202804","갱신","-","1,228","15","아파트"
"58","서울특별시 성북구 길음동","1287-1","1287","0001","롯데캐슬골든힐스","월세","73.9713","202604","28","5,000","200","11","2019","서경로 60","202605~202805","신규","-","","","아파트"
"59","서울특별시 성북구 길음동","1288","1288","0000","래미안길음센터피스","전세","33.4600","202604","28","22,417","0","13","2019","숭인로 50","202605~202804","갱신","-","21,350","0","아파트"
"60","서울특별시 중랑구 중화동","453","0453","0000","청광플러스원","전세","84.9600","202604","28","58,800","0","3","2007","동일로136길 15","202604~202804","갱신","사용","56,000","0","아파트"
"61","서울특별시 도봉구 창동","808","0808","0000","동아청솔","전세","59.9600","202604","28","37,000","0","8","1997","노해로69길 103","202604~202804","신규","-","","","아파트"
"62","서울특별시 성북구 길음동","1288","1288","0000","래미안길음센터피스","전세","84.9900","202604","28","60,840","0","2","2019","숭인로 50","202605~202807","신규","-","","","아파트"
