"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"34","서울특별시 은평구 녹번동","133-14","0133","0014","라임하우스(133-14)","전세","48.7300","202604","28","30,000","0","3","2022","녹번로3가길 14","202604~202804","갱신","사용","30,000","0","연립다세대"
"35","서울특별시 은평구 갈현동","511-8","0511","0008","갈현맨숀(511-8)","전세","35.9800","202604","28","9,200","0","4","1992","갈현로23길 9-4","202604~202804","갱신","-","5,000","0","연립다세대"
"36","서울특별시 강북구 번동","159-8","0159","0008","미미주택(나)","월세","42.4100","202604","28","1,000","40","-1","1993","오현로32길 30-26","202605~202805","신규","-","","","연립다세대"
"37","서울특별시 은평구 신사동","200-19","0200","0019","(200-19)","월세","35.6000","202604","28","1,500","70","1","1987","은평터널로 182-27","202605~202805","신규","-","","","연립다세대"
"38","서울특별시 노원구 월계동","402-52","0402","0052","태광A동(402-52)","전세","54.7400","202604","28","15,780","0","1","1989","광운로 39-1","202606~202806","갱신","-","15,030","0","연립다세대"
"39","서울특별시 노원구 상계동","1104-2","1104","0002","정우빌라가,나동","월세","83.9400","202604","28","13,000","30","3","1986","동일로237가길 37","202604~202804","갱신","-","10,500","0","연립다세대"
"40","서울특별시 마포구 염리동","149-6","0149","0006","스테이원(149-6)","월세","29.9100","202604","28","20,000","40","5","2021","백범로25길 17-3","202605~202805","신규","-","","","연립다세대"
"41","서울특별시 마포구 성산동","17-6","0017","0006","월드하우스","월세","14.0400","202604","28","1,000","50","2","2014","월드컵북로12길 32","202605~202805","신규","-","","","연립다세대"
"42","서울특별시 성북구 석관동","317-22","0317","0022","엠케이하우징","전세","28.6000","202604","28","18,700","0","3","2021","한천로69길 39","202606~202806","신규","-","","","연립다세대"
"43","서울특별시 강서구 등촌동","641-12","0641","0012","루미에르","전세","15.7900","202604","28","23,700","0","13","2024","양천로60길 60","202607~202807","갱신","-","23,800","0","연립다세대"
"44","서울특별시 서대문구 홍제동","122-32","0122","0032","엘리스빌리지","전세","54.0000","202604","28","24,000","0","3","2001","홍제원6길 34","202607~202807","갱신","사용","23,000","0","연립다세대"
"45","서울특별시 도봉구 창동","475-8","0475","0008","웰하우스","월세","37.7200","202604","28","2,000","70","4","2015","덕릉로60길 108-3","202606~202806","신규","-","","","연립다세대"
"46","서울특별시 은평구 불광동","177-39","0177","0039","다옴빌","월세","15.8400","202604","28","500","47","2","2014","불광로18길 8","202605~202805","신규","-","","","연립다세대"
"47","서울특별시 서대문구 홍은동","398-1","0398","0001","빛나는빌드","전세","23.1400","202604","28","17,850","0","5","2018","명지길 109","202605~202805","갱신","-","17,000","0","연립다세대"
"48","서울특별시 서초구 서초동","1428-15","1428","0015","모던파크","월세","12.6100","202604","28","1,000","60","2","2016","남부순환로337길 37","202604~202704","신규","-","","","연립다세대"
"49","서울특별시 송파구 삼전동","42-14","0042","0014","은하수","전세","35.9500","202604","28","32,800","0","3","2014","삼전로4길 28","202606~202806","신규","-","","","연립다세대"
"50","서울특별시 강동구 둔촌동","61-15","0061","0015","자이빌라","월세","75.5000","202604","28","20,000","60","3","2002","명일로13길 39","202606~203006","갱신","-","20,000","50","연립다세대"
"51","서울특별시 송파구 잠실동","236-17","0236","0017","(236-17)","월세","29.8400","202604","28","25,000","30","2","2019","삼전로7길 22","202606~202806","신규","-","","","연립다세대"
