시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 마포구 도화동,2-14,도화맨션,월세,20.84,"20,000",13,새창로6나길 8,연립다세대
서울특별시 은평구 응암동,64-34,디자인하우스(64-34),전세,55.25,"35,000",0,은평로18길 10,연립다세대
서울특별시 은평구 응암동,700-7,(700-7),전세,38.48,"10,000",0,가좌로7라길 13-14,연립다세대
서울특별시 마포구 합정동,391-32,벡텔빌라,월세,52.12,"28,000",10,포은로2가길 39,연립다세대
서울특별시 마포구 연남동,487-267,토천그린존,전세,44.76,"21,800",0,성미산로17길 27,연립다세대
서울특별시 서대문구 남가좌동,337-28,주원PetVill,전세,29.67,"24,000",0,가재울로6길 33,연립다세대
서울특별시 서대문구 남가좌동,328-37,광진아트빌1차,월세,26.01,"2,325",13,증가로4길 8-17,연립다세대
서울특별시 은평구 불광동,281-37,(281-37),월세,20.17,"1,000",53,불광로 48-11,연립다세대
서울특별시 은평구 불광동,445-237,경진빌라,월세,67.97,"16,000",10,연서로41가길 42-15,연립다세대
서울특별시 은평구 불광동,445-237,경진빌라,월세,67.97,"16,000",10,연서로41가길 42-15,연립다세대
서울특별시 도봉구 쌍문동,23-12,동욱빌라,월세,33.6,"8,900",20,방학로3가길 27,연립다세대
서울특별시 도봉구 쌍문동,349-5,남전그린빌라,월세,47.06,"3,000",80,우이천로30길 10,연립다세대
서울특별시 성북구 종암동,7-60,국진아트빌라,월세,39.24,500,40,종암로14길 32-28,연립다세대
서울특별시 강서구 등촌동,511-9,정영건물,전세,36.56,"18,700",0,등촌로 201-7,연립다세대
서울특별시 강서구 등촌동,721,동양하우징,전세,22.85,"25,400",0,등촌로 65,연립다세대
서울특별시 마포구 염리동,147-9,염리명강빌4차,전세,19.17,"17,000",0,숭문2길 5-13,연립다세대
서울특별시 강북구 수유동,57-98,다옴,월세,58.09,"5,000",100,삼양로80가길 11,연립다세대
서울특별시 강북구 수유동,569-36,송정지가B,전세,29.5,"20,000",0,인수봉로84길 21-9,연립다세대
서울특별시 마포구 염리동,27-91,마포더힐베네리치,전세,37.61,"39,900",0,마포대로11나길 4,연립다세대
서울특별시 강북구 수유동,491-97,진한빌라(나),월세,33.75,"8,600",20,화계사길 23-9,연립다세대
서울특별시 양천구 신정동,920-2,브니엘,전세,56.96,"28,500",0,오목로35길 19,연립다세대
서울특별시 양천구 신정동,931-7,도양라비앙빌(931-7),월세,50.45,"1,000",67,신정중앙로8길 11,연립다세대
서울특별시 양천구 신정동,973-39,신성스카이뷰,전세,26.97,"24,000",0,오목로24길 29,연립다세대
서울특별시 양천구 신정동,128-40,평화아트빌,월세,42.0,"27,000",12,신목로6길 8-1,연립다세대
서울특별시 강북구 번동,443-101,시크빌트윈9차(443-101),월세,29.96,"1,000",85,오패산로67길 45-6,연립다세대
서울특별시 강북구 번동,148-221,우영파크빌,전세,60.37,"15,000",0,오현로25길 63,연립다세대
서울특별시 강북구 번동,148-474,효성주택6,전세,28.29,"6,300",0,오현로25가길 43,연립다세대
서울특별시 강북구 번동,148-187,신일빌라,전세,52.8,"13,000",0,오현로25나길 42,연립다세대
서울특별시 강북구 번동,437-86,진주2차102동,전세,40.5,"8,000",0,덕릉로40다길 24,연립다세대
서울특별시 노원구 공릉동,566-1,(566-1),전세,41.58,"20,000",0,동일로182길 18,연립다세대
서울특별시 서대문구 북가좌동,349-32,신안빌라(349-32),전세,46.9,"17,000",0,거북골로23길 42,연립다세대
서울특별시 서대문구 북가좌동,296-26,동진홈타운(296-26),전세,23.87,"10,730",0,증가로21길 30,연립다세대
서울특별시 서대문구 북가좌동,312-29,빌리브캐슬,월세,29.95,"16,000",28,거북골로20길 53-15,연립다세대
서울특별시 은평구 대조동,192-42,한빛그랑빌D동,전세,63.09,"23,000",0,통일로73길 14-1,연립다세대
서울특별시 은평구 대조동,191-19,대운빌,전세,44.365,"20,000",0,역말로9길 40-27,연립다세대
서울특별시 은평구 대조동,171-37,온세하이빌,전세,29.93,"26,200",0,역말로 131-6,연립다세대
서울특별시 중랑구 면목동,156-35,서건빌라(씨),전세,40.74,"18,000",0,사가정로39길 63,연립다세대
서울특별시 종로구 누상동,1-4,경복아트빌3,전세,84.68,"49,000",0,옥인길 56,연립다세대
서울특별시 동대문구 장안동,399-17,주현주택(399-17),월세,29.19,"23,000",4,천호대로77다길 11-11,연립다세대
서울특별시 동대문구 장안동,466-17,GOLDENLUCE,전세,27.39,"35,000",0,장한로2길 76,연립다세대
서울특별시 동대문구 장안동,452-14,(452-14),월세,34.75,"11,000",25,장한로8길 50,연립다세대
서울특별시 동대문구 장안동,444-2,캔자스대저택,월세,21.49,"10,000",21,천호대로91길 57,연립다세대
서울특별시 동대문구 장안동,405-3,민성,월세,24.72,"1,000",55,천호대로79길 41,연립다세대
서울특별시 강남구 도곡동,951-7,도곡르비앙,월세,14.96,"1,000",63,남부순환로351길 22-9,연립다세대
서울특별시 동대문구 전농동,55-19,더클래식B동,전세,29.9,"28,600",0,사가정로15길 41,연립다세대
서울특별시 동대문구 전농동,103-49,명가뷰,월세,38.73,"28,000",15,전농로38가길 15-3,연립다세대
서울특별시 동대문구 전농동,55-19,더클래식B동,전세,29.9,"28,600",0,사가정로15길 41,연립다세대
서울특별시 강남구 대치동,900-10,나모빌리지,월세,27.6,100,100,역삼로65길 13,연립다세대
서울특별시 동대문구 제기동,1214,동광팰리스(1214),월세,28.55,"20,000",20,왕산로19길 52,연립다세대
서울특별시 중구 회현동1가,86-1,어반하임(남산A동),전세,25.47,"26,200",0,퇴계로10길 20-24,연립다세대
서울특별시 중구 회현동2가,48-22,블루버드명동,월세,28.91,"30,000",10,소공로4길 25,연립다세대
서울특별시 중구 회현동2가,48-22,블루버드명동,월세,28.91,"30,000",10,소공로4길 25,연립다세대
서울특별시 동대문구 신설동,45-2,로얄팰리스,월세,22.86,"25,000",40,한빛로 29,연립다세대
서울특별시 성북구 안암동5가,15-17,(15-17),월세,18.99,"1,000",75,개운사길 42-3,연립다세대
서울특별시 광진구 군자동,465-22,프라임힐,전세,46.14,"27,000",0,동일로58길 19,연립다세대
서울특별시 광진구 군자동,355-21,윤호리치빌,전세,16.1,"15,750",0,광나루로13길 3-4,연립다세대
서울특별시 광진구 군자동,117-11,경원리더스홈,월세,35.1,"12,600",40,동일로52길 23,연립다세대
서울특별시 광진구 군자동,180-1,창진블루빌,월세,68.44,"27,800",20,천호대로102길 55,연립다세대
서울특별시 중구 광희동2가,47-2,동원스위트광희,월세,26.75,"20,000",37,퇴계로 329-5,연립다세대
서울특별시 광진구 화양동,20-27,현대파크빌라,월세,78.03,"26,000",35,광나루로14길 36-5,연립다세대
서울특별시 중랑구 면목동,467-18,경수하이빌,월세,29.94,"15,000",5,면목로44바길 7,연립다세대
서울특별시 중랑구 면목동,371-168,(371-168),월세,44.24,0,47,면목로28길 17-4,연립다세대
서울특별시 중랑구 면목동,371-168,(371-168),월세,44.24,0,47,면목로28길 17-4,연립다세대
서울특별시 중랑구 면목동,371-168,(371-168),월세,44.24,0,47,면목로28길 17-4,연립다세대
서울특별시 중랑구 면목동,377-51,태영아트빌,전세,43.32,"25,200",0,답십리로77길 76-44,연립다세대
서울특별시 중랑구 면목동,105-24,(105-24),월세,29.915,"20,000",7,겸재로50길 6,연립다세대
서울특별시 중랑구 면목동,502-13,동양하우징(502-13),월세,42.45,"5,000",90,면목로57길 8-8,연립다세대
서울특별시 중구 신당동,381-7,신당동빌딩,월세,61.28,"10,000",46,동호로12길 7,연립다세대
서울특별시 중구 신당동,346-463,럭키빌라,전세,66.95,"20,000",0,동호로8라길 5,연립다세대
서울특별시 중구 신당동,405-5,아이리스신당,월세,41.48,"8,000",148,동호로20길 34-37,연립다세대
서울특별시 강남구 삼성동,24-18,공간2차,월세,16.72,"2,000",70,삼성로115길 20-12,연립다세대
서울특별시 강남구 삼성동,47-26,우봉빌라,전세,59.97,"36,400",0,봉은사로69길 18,연립다세대
서울특별시 강남구 삼성동,114-17,(114-17),전세,67.58,"40,845",0,봉은사로68길 6-4,연립다세대
서울특별시 강남구 삼성동,41,금호빌,전세,21.84,"14,900",0,봉은사로61길 30,연립다세대
서울특별시 강남구 청담동,69-1,청담샹그리라,월세,61.875,"5,000",210,학동로97길 43-15,연립다세대
서울특별시 강남구 개포동,1218-14,운영빌라,월세,42.06,"2,000",100,개포로24길 36,연립다세대
서울특별시 강남구 개포동,1236-1,노블하임,전세,29.79,"31,000",0,논현로18길 10-4,연립다세대
서울특별시 강남구 개포동,1219-3,장원,월세,53.99,"28,000",40,개포로22길 36,연립다세대
서울특별시 강남구 개포동,1193-4,"쉐라,빌",월세,56.66,"10,000",150,논현로12길 10,연립다세대
서울특별시 강남구 개포동,1202-8,다세대주택,전세,48.03,"17,500",0,개포로22길 45-15,연립다세대
서울특별시 용산구 후암동,123-20,새한빌라,전세,38.55,"24,500",0,한강대로102길 52,연립다세대
서울특별시 용산구 후암동,438-38,함주빌라(A),월세,47.72,"5,000",60,후암로48길 38-12,연립다세대
서울특별시 광진구 자양동,16-15,플레이스자양2차,월세,29.35,500,120,아차산로24길 24-4,연립다세대
서울특별시 광진구 자양동,13-17,해오름,월세,20.71,"2,000",48,아차산로24길 25,연립다세대
서울특별시 광진구 자양동,667-32,(667-32),월세,29.84,"5,000",50,자양로3길 39-4,연립다세대
서울특별시 광진구 자양동,635-36,현대빌라(635-36),전세,42.48,"19,000",0,뚝섬로57가길 55,연립다세대
서울특별시 광진구 자양동,672-5,강변애팰리스,월세,29.69,"16,000",70,자양로3가길 40,연립다세대
서울특별시 광진구 자양동,682-3,클래시하우스,전세,29.82,"30,000",0,뚝섬로 696,연립다세대
서울특별시 광진구 자양동,617-10,자양퍼스트리버,전세,24.55,"25,000",0,자양로13길 82,연립다세대
서울특별시 광진구 자양동,229-63,파크빌,전세,19.0,"12,000",0,아차산로40길 39-13,연립다세대
서울특별시 광진구 자양동,46-33,자양리치빌V,월세,13.14,"16,000",25,뚝섬로30가길 12,연립다세대
서울특별시 광진구 자양동,638-19,(638-19),전세,84.97,"30,000",0,뚝섬로52길 31,연립다세대
서울특별시 성북구 보문동5가,199,태영빌,전세,36.22,"16,800",0,보문로17길 14,연립다세대
서울특별시 용산구 갈월동,49,상원주택,전세,32.71,"20,000",0,두텁바위로1길 41,연립다세대
서울특별시 용산구 갈월동,45-4,드림빌리지,월세,61.29,"40,000",5,한강대로96길 53,연립다세대
서울특별시 용산구 청파동1가,200-10,(200-10),월세,44.1,500,45,효창원로94다길 30,연립다세대
서울특별시 용산구 청파동1가,89-67,89-67,전세,28.85,"23,700",0,효창원로86다길 5,연립다세대
서울특별시 중랑구 상봉동,104-33,블리스다임빌,월세,27.2,"7,906",11,면목로92가길 15-11,연립다세대
서울특별시 중랑구 상봉동,104-33,블리스다임빌,월세,27.2,"7,468",11,면목로92가길 15-11,연립다세대
서울특별시 중랑구 상봉동,256-22,101빌리지,월세,41.73,"10,900",31,상봉중앙로6길 18,연립다세대
서울특별시 용산구 청파동3가,132-187,백산빌라트A,전세,120.04,"60,000",0,백범로79길 91,연립다세대
서울특별시 강남구 역삼동,683-23,창선케슬,월세,57.24,"29,000",28,봉은사로50길 37,연립다세대
서울특별시 강남구 역삼동,663-30,SUITE9912,월세,96.807,"2,000",110,언주로99길 12,연립다세대
서울특별시 강남구 역삼동,734-22,(734-22),월세,17.4375,600,73,역삼로 209,연립다세대
서울특별시 강남구 역삼동,695-6,소호빌,전세,31.5,"12,000",0,테헤란로53길 34,연립다세대
서울특별시 강남구 역삼동,732-10,네오빌(732-10),월세,24.75,"1,000",61,언주로75길 27,연립다세대
서울특별시 강남구 역삼동,795-5,경산빌라,월세,50.28,100,90,논현로67길 21-2,연립다세대
서울특별시 강남구 역삼동,782-15,(782-15),전세,28.8,"17,500",0,논현로66길 26-4,연립다세대
서울특별시 강남구 역삼동,792-7,마이플레이스,전세,29.72,"37,100",0,논현로67길 46,연립다세대
서울특별시 강남구 역삼동,672-9,예담빌,월세,29.14,"2,000",67,언주로97길 31-10,연립다세대
서울특별시 용산구 원효로1가,17-93,원효미가,전세,23.76,"23,000",0,백범로79다길 32,연립다세대
서울특별시 용산구 신창동,56-6,미샹보르6차,전세,29.89,"24,000",0,효창원로 48-9,연립다세대
서울특별시 용산구 원효로4가,81,원효하우스A,전세,59.1,"27,000",0,효창원로8길 25,연립다세대
서울특별시 용산구 원효로4가,96-2,금강프라임빌,전세,29.34,"20,948",0,원효로25길 16-5,연립다세대
서울특별시 광진구 구의동,553-6,삼환그린빌,월세,37.6,300,42,영화사로13길 20,연립다세대
서울특별시 광진구 구의동,252-45,DS(252-45),월세,52.68,"10,000",45,아차산로49길 55,연립다세대
서울특별시 광진구 구의동,43-5,청솔빌라,전세,68.16,"24,000",0,자양로44다길 15,연립다세대
서울특별시 광진구 구의동,646-5,스카이빌(646-5),월세,63.89,"22,000",20,자양로23길 53,연립다세대
서울특별시 광진구 구의동,236-35,동서화운트빌(236-35),전세,57.33,"40,000",0,자양로 178-12,연립다세대
서울특별시 광진구 구의동,241-52,크로마하우스15,월세,21.81,"19,700",13,자양로22길 79,연립다세대
서울특별시 광진구 구의동,35-21,삼성베스트빌16차,전세,78.81,"35,000",0,자양로44길 141-10,연립다세대
서울특별시 광진구 구의동,596-9,힐카운티9,월세,29.27,"10,000",69,뚝섬로 734,연립다세대
서울특별시 광진구 구의동,254-56,대성주택,전세,41.3,"11,000",0,자양로25길 6,연립다세대
서울특별시 광진구 구의동,596-9,힐카운티9,월세,29.27,"10,000",69,뚝섬로 734,연립다세대
서울특별시 용산구 효창동,5-91,낭띠빌,전세,54.24,"35,000",0,효창원로64길 27-4,연립다세대
서울특별시 용산구 효창동,5-118,용산더베스트,월세,24.8,"24,600",10,효창원로62길 11,연립다세대
서울특별시 용산구 효창동,5-91,낭띠빌,전세,54.24,"35,000",0,효창원로64길 27-4,연립다세대
서울특별시 중랑구 중화동,309-90,(309-90),전세,37.11,"27,500",0,봉화산로3길 62-5,연립다세대
서울특별시 중랑구 중화동,324-54,TheH중화3차,월세,28.98,"15,000",20,중랑천로17길 16,연립다세대
서울특별시 광진구 능동,241-10,하우젠파크빌,전세,47.74,"38,500",0,능동로32길 82-19,연립다세대
서울특별시 광진구 능동,320-57,320-57,월세,24.41,"23,000",4,능동로30길 19,연립다세대
서울특별시 용산구 이태원동,196-1,아이빌라,전세,62.48,"50,000",0,녹사평대로40나길 80,연립다세대
서울특별시 강남구 일원동,628-8,다세대주택,전세,49.1,"31,500",0,개포로128길 29,연립다세대
서울특별시 중랑구 망우동,513-52,조광빌,전세,26.99,"22,000",0,봉우재로 213,연립다세대
서울특별시 강남구 논현동,188-3,아이파크,월세,14.18,"14,000",10,강남대로120길 70,연립다세대
서울특별시 강남구 논현동,190-1,서진플로렌스190,월세,27.41,"5,000",140,논현로115길 23,연립다세대
서울특별시 강남구 논현동,227-6,하나센스빌,월세,43.56,"29,480",7,논현로116길 13,연립다세대
서울특별시 강남구 논현동,219-13,헬마빌논현3차,월세,16.59,90,90,학동로30길 37-12,연립다세대
서울특별시 강남구 논현동,125-21,한강골드빌리지,전세,27.69,"19,500",0,학동로12길 9,연립다세대
서울특별시 강남구 논현동,172-2,파크캐슬A동,월세,24.3,"2,000",160,논현로121길 59,연립다세대
서울특별시 강남구 논현동,125-21,한강골드빌리지,전세,27.69,"19,500",0,학동로12길 9,연립다세대
서울특별시 강남구 논현동,264-4,그린빌비동,월세,29.24,"28,000",10,선릉로119길 33,연립다세대
서울특별시 성북구 보문동2가,74-7,(74-7),전세,63.44,"21,500",0,지봉로21길 16,연립다세대
서울특별시 성북구 성북동,213-18,성북빌라,전세,109.56,"20,000",0,성북로23길 58,연립다세대
서울특별시 광진구 중곡동,107-96,현진빌라,월세,18.7,"12,500",2,영화사로7길 8,연립다세대
서울특별시 광진구 중곡동,191-33,(191-33),전세,34.23,"16,000",0,면목로11길 21,연립다세대
서울특별시 광진구 중곡동,167-18,월드빌(167-18),전세,45.08,"18,700",0,능동로51길 8,연립다세대
서울특별시 광진구 중곡동,107-38,한강팰리스,월세,49.09,"35,000",25,영화사로9길 29,연립다세대
서울특별시 광진구 중곡동,235-4,브라운하우스,전세,29.34,"19,800",0,동일로 392,연립다세대
서울특별시 광진구 중곡동,297-6,풍경채다동,월세,55.91,"31,500",30,용마산로30길 8,연립다세대
서울특별시 광진구 중곡동,148-6,(148-6),월세,29.97,"17,000",15,용마산로8가길 38-15,연립다세대
서울특별시 광진구 중곡동,50-19,글램하우스,월세,33.07,"27,900",5,긴고랑로20길 51,연립다세대
서울특별시 광진구 중곡동,18-24,신향빌라,월세,73.5,"5,000",100,용마산로24길 13,연립다세대
서울특별시 성북구 안암동2가,119-2,일광빌라(1동),월세,39.75,"1,000",80,고려대로7가길 66-1,연립다세대
서울특별시 종로구 원서동,76-50,엘빌라트,월세,25.53,"1,000",45,창덕궁3길 33-6,연립다세대
서울특별시 송파구 삼전동,46-20,미르빌,월세,46.86,"19,000",11,삼전로6길 23,연립다세대
서울특별시 강동구 성내동,420-29,(420-29),월세,49.19,"17,000",11,성안로 63-3,연립다세대
서울특별시 송파구 오금동,66-3,오금팰리스,전세,41.06,"25,200",0,성내천로8가길 4-7,연립다세대
서울특별시 송파구 마천동,370-10,월봉아트빌(라동),전세,57.47,"18,100",0,성내천로51길 13-10,연립다세대
서울특별시 송파구 마천동,279-2,백합골든빌라,전세,41.16,"3,500",0,성내천로53길 7-1,연립다세대
서울특별시 서초구 양재동,387-5,일신빌라,월세,47.24,"19,800",9,동산로14길 64,연립다세대
서울특별시 서초구 양재동,112-1,(112-1),전세,41.99,"60,000",0,양재천로13길 28,연립다세대
서울특별시 서초구 양재동,397-10,유니빌,전세,62.52,"45,000",0,동산로16길 19,연립다세대
서울특별시 서초구 양재동,401-8,스마트빌,전세,59.8,"42,000",0,논현로5길 15-17,연립다세대
서울특별시 서초구 양재동,287-11,꿈꾸지오(287-11),전세,26.36,"24,200",0,논현로11길 16-18,연립다세대
서울특별시 서초구 양재동,5-12,비버리하임(1단지),전세,56.59,"54,000",0,논현로31길 75,연립다세대
서울특별시 서초구 양재동,4-6,썬빌리지1동,월세,31.14,"15,000",12,논현로31길 19,연립다세대
서울특별시 송파구 방이동,103-2,(103-2),전세,21.5,"8,000",0,올림픽로32길 49-6,연립다세대
서울특별시 송파구 방이동,196-8,그라민빌리지,전세,25.76,"24,000",0,양재대로71길 42-5,연립다세대
서울특별시 송파구 방이동,113-18,에이플러스빌,월세,70.43,"21,500",17,오금로21길 19,연립다세대
서울특별시 송파구 방이동,115-18,티크아트빌(115-18),월세,29.47,"27,700",12,가락로33길 13,연립다세대
서울특별시 송파구 방이동,155-20,가람하이츠,월세,66.54,"27,500",21,백제고분로50길 30-26,연립다세대
서울특별시 송파구 방이동,103-16,103-16,전세,21.26,"23,000",0,오금로17길 19,연립다세대
서울특별시 송파구 방이동,103-16,103-16,전세,21.26,"23,000",0,오금로17길 19,연립다세대
서울특별시 송파구 삼전동,168-9,썸머스빌,월세,62.95,"32,000",17,삼학사로3길 24-1,연립다세대
서울특별시 송파구 삼전동,170-2,에스에스팰리스,전세,56.6,"42,000",0,백제고분로32길 40-25,연립다세대
서울특별시 송파구 삼전동,179-6,(179-6),월세,38.18,"10,000",37,백제고분로32길 3-10,연립다세대
서울특별시 송파구 삼전동,93-17,(93-17),월세,47.31,"3,000",61,백제고분로27길 23-20,연립다세대
서울특별시 송파구 삼전동,167-7,(167-7),월세,40.11,"1,000",105,백제고분로32길 30-14,연립다세대
서울특별시 송파구 오금동,85,85,월세,47.46,"15,000",65,중대로34길 15,연립다세대
서울특별시 강동구 길동,411-19,(411-19),월세,26.12,"1,000",58,양재대로110길 7,연립다세대
서울특별시 서초구 서초동,1479-14,서리풀청년아트타운1차,월세,29.99,"7,643",20,반포대로9길 59-16,연립다세대
서울특별시 강동구 성내동,517-22,동산빌라(517-22),월세,41.2,"6,000",35,풍성로 157-1,연립다세대
서울특별시 강동구 성내동,277-34,(277-34),전세,60.85,"27,000",0,풍성로 135-15,연립다세대
서울특별시 강동구 성내동,537-1,(537-1),월세,46.01,"23,000",15,성내로5길 41,연립다세대
서울특별시 송파구 석촌동,171-19,봉스마트빌,월세,22.0,"1,000",69,백제고분로39길 9-8,연립다세대
서울특별시 강동구 성내동,174-38,174-38,월세,18.14,"1,000",53,천호대로168길 34,연립다세대
서울특별시 강동구 성내동,501-5,그린파크빌(501-5),월세,22.05,"14,300",28,성안로13길 20-16,연립다세대
서울특별시 강동구 명일동,91,어반스테이트M91,전세,29.84,"26,000",0,상암로63길 36,연립다세대
서울특별시 강동구 명일동,322-11,반석빌리지,월세,64.87,"25,000",26,구천면로65길 7,연립다세대
서울특별시 송파구 삼전동,170-2,에스에스팰리스,전세,56.6,"42,000",0,백제고분로32길 40-25,연립다세대
서울특별시 송파구 삼전동,56-18,(56-18),월세,22.82,"1,000",51,백제고분로28길 24-19,연립다세대
서울특별시 송파구 삼전동,126-5,두송,전세,68.65,"36,000",0,삼학사로19길 3-10,연립다세대
서울특별시 강동구 성내동,226-6,아성플러스,월세,38.98,"15,037",17,풍성로41길 7,연립다세대
서울특별시 강동구 천호동,295-27,(295-27),월세,47.56,"11,000",33,천중로23길 31,연립다세대
서울특별시 송파구 삼전동,43-10,(43-10),월세,58.15,"10,000",125,삼전로4길 25-1,연립다세대
서울특별시 송파구 풍납동,403-1,태양빌라가동,전세,39.42,"16,650",0,강동대로3길 27,연립다세대
서울특별시 강동구 천호동,289-51,하우징허브,전세,58.89,"33,000",0,상암로 66-3,연립다세대
서울특별시 송파구 삼전동,38-28,(38-28),월세,28.27,"25,000",5,백제고분로22길 38-19,연립다세대
서울특별시 서초구 양재동,392-18,일조파크뷰,월세,29.86,"10,000",85,논현로7길 30,연립다세대
서울특별시 서초구 서초동,1360-11,(1360-11),전세,19.09,"15,750",0,강남대로41길 15-6,연립다세대
서울특별시 서초구 서초동,1558-4,한빛위너스,월세,32.37,"10,000",90,반포대로26길 42,연립다세대
서울특별시 서초구 서초동,1360-2,(1360-2),전세,34.32,"26,000",0,강남대로41길 21-6,연립다세대
서울특별시 서초구 서초동,1360-23,(1360-23),월세,26.52,"29,350",15,남부순환로347길 48-10,연립다세대
서울특별시 송파구 삼전동,174-13,샤인빌리지(174-13),월세,52.92,"19,000",39,백제고분로32길 25-16,연립다세대
서울특별시 서초구 서초동,1479-13,수정빌,전세,37.34,"4,200",0,남부순환로315길 88-14,연립다세대
서울특별시 송파구 삼전동,94-11,(94-11),전세,38.63,"20,947",0,삼전로10길 27,연립다세대
서울특별시 송파구 가락동,91-1,(91-1),월세,24.3,"1,000",55,중대로9길 45-12,연립다세대
서울특별시 송파구 가락동,103-10,(103-10),월세,57.34,"12,000",17,동남로3길 11-9,연립다세대
서울특별시 송파구 잠실동,316-14,(316-14),월세,27.08,"5,000",53,백제고분로18길 12-6,연립다세대
서울특별시 송파구 잠실동,239-12,골드빌,월세,29.88,"26,900",30,삼전로9길 28,연립다세대
서울특별시 송파구 가락동,187-10,더헤리움,월세,18.54,"14,500",17,문정로13길 19-21,연립다세대
서울특별시 송파구 가락동,4-4,(4-4),월세,16.43,"12,000",25,오금로34길 4-11,연립다세대
서울특별시 송파구 가락동,13-14,송리안,월세,47.33,"22,000",15,송이로17길 50-17,연립다세대
서울특별시 송파구 가락동,39-1,효성빌라(3동),전세,219.03,"60,000",0,송이로21길 32-11,연립다세대
서울특별시 송파구 가락동,39-1,효성빌라(3동),전세,219.03,"60,000",0,송이로21길 32-11,연립다세대
서울특별시 송파구 잠실동,318-23,신원빌라(318-23),월세,41.4,"13,000",20,백제고분로14길 14-1,연립다세대
서울특별시 강동구 천호동,167-97,다성이즈빌(167-97),월세,18.13,"2,000",80,성안로27길 57-18,연립다세대
서울특별시 송파구 잠실동,214-19,잠실파크,월세,27.75,"24,600",15,백제고분로11길 32-11,연립다세대
서울특별시 송파구 잠실동,329-16,더바인잠실,전세,26.33,"25,000",0,백제고분로18길 23-14,연립다세대
서울특별시 송파구 잠실동,215-12,(215-12),월세,21.6,"1,500",120,백제고분로11길 28-13,연립다세대
서울특별시 강동구 천호동,314-26,제이디파크빌,월세,29.35,"23,000",30,천중로11길 11,연립다세대
서울특별시 서초구 반포동,551-34,서운빌라,월세,60.31,"2,000",105,사평대로28길 81,연립다세대
서울특별시 서초구 반포동,720-28,정연아트빌라,전세,57.68,"34,375",0,사평대로53길 80,연립다세대
서울특별시 서초구 반포동,716-25,재용빌라,월세,44.0,"1,000",140,주흥길 47,연립다세대
서울특별시 서초구 반포동,743-11,(743-11),월세,29.5,"2,000",140,주흥5길 1,연립다세대
서울특별시 강동구 천호동,173-9,(173-9),월세,34.61,"2,000",53,성안로31마길 15-6,연립다세대
서울특별시 강동구 천호동,191-21,아란시아한강,월세,21.92,"1,000",105,진황도로27다길 52,연립다세대
서울특별시 송파구 석촌동,150-27,150-27,월세,49.38,"27,000",21,석촌호수로20길 34,연립다세대
서울특별시 송파구 석촌동,243-9,(243-9),월세,27.62,"10,980",2,가락로5길 7-14,연립다세대
서울특별시 송파구 석촌동,259-14,성창빌라(259-14),월세,40.61,"2,000",70,가락로9길 10,연립다세대
서울특별시 송파구 잠실동,318-2,리버우드,월세,31.05,"23,000",10,백제고분로14길 6-1,연립다세대
서울특별시 송파구 석촌동,245-15,욱빈ID힐타움(245-15),월세,23.44,"1,500",115,가락로5길 31-5,연립다세대
서울특별시 송파구 석촌동,273-8,춘원빌라,월세,45.88,"12,000",60,가락로12길 5-23,연립다세대
서울특별시 송파구 석촌동,6-3,이석자리,전세,29.52,"22,000",0,삼학사로18길 7,연립다세대
서울특별시 송파구 삼전동,54-4,(54-4),월세,36.1,"13,000",30,삼학사로3길 51,연립다세대
서울특별시 송파구 석촌동,243-9,(243-9),전세,27.62,"11,529",0,가락로5길 7-14,연립다세대
서울특별시 송파구 석촌동,232-13,정빈트리라움,월세,29.8,"20,900",16,백제고분로34길 15-5,연립다세대
서울특별시 강동구 천호동,173-9,(173-9),월세,34.61,"2,000",53,성안로31마길 15-6,연립다세대
서울특별시 강동구 암사동,499-7,EcoVill,월세,28.49,"2,500",58,암사1길 16-1,연립다세대
서울특별시 강동구 암사동,447-30,(447-30),월세,49.06,"10,000",66,고덕로25길 7,연립다세대
서울특별시 강동구 암사동,489-83,집앤사마레지오,월세,46.42,"31,800",38,상암로23길 15-16,연립다세대
서울특별시 강동구 암사동,504-31,(504-31),월세,35.09,"1,000",110,상암로5길 67,연립다세대
서울특별시 강동구 둔촌동,54-1,(54-1),월세,44.35,"13,000",48,명일로13길 20,연립다세대
서울특별시 송파구 문정동,35-14,(35-14),월세,23.88,"19,500",13,동남로6길 35-5,연립다세대
서울특별시 강동구 천호동,295-27,(295-27),월세,73.88,"12,000",34,천중로23길 31,연립다세대
서울특별시 송파구 오금동,83-1,세종빌라,전세,25.39,"27,500",0,중대로34길 5-14,연립다세대
서울특별시 송파구 방이동,176-3,쌍용올림픽파트빌라,월세,84.9,500,40,백제고분로50길 13,연립다세대
서울특별시 송파구 방이동,104,소은빌딩,전세,52.14,"19,840",0,올림픽로32길 52,연립다세대
서울특별시 송파구 방이동,155-20,가람하이츠,월세,66.54,"27,500",21,백제고분로50길 30-26,연립다세대
서울특별시 송파구 방이동,155-20,가람하이츠,월세,66.54,"28,000",18,백제고분로50길 30-26,연립다세대
서울특별시 서초구 양재동,88-1,자광,월세,18.6,110,110,양재천로29길 14,연립다세대
서울특별시 서초구 양재동,88-1,자광,월세,14.62,110,110,양재천로29길 14,연립다세대
서울특별시 강동구 고덕동,189-5,SC빌,월세,29.89,"20,000",35,상일로17길 28,연립다세대
