시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 서초구 서초동,1512-2,서초동아크리움2차,월세,52.74,"45,000",100,명달로22길 52,연립다세대
서울특별시 강동구 암사동,449-11,양지빌라B동(449-11),월세,41.5,"13,000",15,아리수로 72-1,연립다세대
서울특별시 송파구 석촌동,12-2,COZYOOM(12-2),월세,34.31,"3,000",63,삼학사로16길 8,연립다세대
서울특별시 송파구 문정동,49-3,바움하우스,월세,24.76,"7,000",56,동남로2길 21-10,연립다세대
서울특별시 송파구 가락동,134-13,(134-13),월세,24.34,"1,000",61,동남로13길 23-10,연립다세대
서울특별시 송파구 방이동,129-8,승경리치빌,월세,33.9,"16,000",6,가락로34길 5-18,연립다세대
서울특별시 송파구 방이동,106-8,퍼스트초이스방이,전세,22.85,"26,000",0,오금로17길 30,연립다세대
서울특별시 송파구 가락동,104-4,선인빌라,월세,33.58,"3,000",55,동남로3길 11-12,연립다세대
서울특별시 서초구 양재동,368-3,현경빌라,월세,45.6,"29,400",10,동산로6길 33-18,연립다세대
서울특별시 강동구 고덕동,153-1,삼도주택,월세,41.17,"9,450",15,고덕로79길 126-12,연립다세대
서울특별시 송파구 석촌동,171-17,잠실하이츠빌,월세,46.56,"10,000",75,백제고분로39길 13-13,연립다세대
서울특별시 송파구 석촌동,268-20,(268-20),월세,89.96,500,50,가락로11길 16-20,연립다세대
서울특별시 서초구 반포동,703-3,노바월드(703-3),전세,19.59,"16,000",0,신반포로42길 2,연립다세대
서울특별시 강동구 고덕동,194-3,젠트리하임Ⅰ,월세,47.66,"3,799",39,상일로15길 34-20,연립다세대
서울특별시 강동구 성내동,564-1,강남리치빌,전세,14.25,"12,500",0,성안로3길 72-10,연립다세대
서울특별시 강동구 성내동,432-10,동양아트빌,월세,34.61,"2,000",56,강동대로53길 83-11,연립다세대
서울특별시 강동구 성내동,383-12,화영주택,월세,27.42,"20,400",25,성안로 111,연립다세대
서울특별시 강동구 길동,369-2,새봄빌라,전세,29.56,"22,000",0,천중로42길 15,연립다세대
서울특별시 강동구 고덕동,278-3,럭스빌,전세,24.88,"22,000",0,아리수로76길 20,연립다세대
서울특별시 송파구 방이동,156-12,(156-12),전세,26.45,"15,400",0,백제고분로50길 30-11,연립다세대
서울특별시 서초구 양재동,289-2,(289-2),전세,75.0,"39,600",0,논현로11길 9,연립다세대
서울특별시 강동구 둔촌동,483-12,한솔하이빌,전세,55.19,"25,000",0,양재대로100길 30,연립다세대
서울특별시 송파구 삼전동,133-8,동연빌라(133-8),월세,33.92,"2,000",66,백제고분로31길 2-4,연립다세대
서울특별시 송파구 삼전동,58,(58-0),월세,54.93,"17,500",37,백제고분로28길 16-21,연립다세대
서울특별시 송파구 삼전동,47-18,스위스리츠빌,월세,49.46,"30,000",30,백제고분로22길 7-17,연립다세대
서울특별시 송파구 송파동,111-46,111-46,월세,26.66,"20,000",40,백제고분로42길 17-18,연립다세대
서울특별시 영등포구 양평동6가,10-12,양평도담빌C,월세,29.98,"12,000",55,양평로28나길 10-1,연립다세대
서울특별시 강서구 내발산동,671-21,한울뜨란채,월세,29.92,"3,000",90,우장산로 24-21,연립다세대
서울특별시 동작구 사당동,314-12,스튜디오사당19,월세,27.7,"4,944",11,사당로20나길 58-8,연립다세대
서울특별시 동작구 사당동,309-30,화이트빌(309-30),월세,28.58,"2,000",70,사당로22나길 81,연립다세대
서울특별시 구로구 개봉동,308-9,새롬하우스(308-9),전세,59.19,"16,000",0,개봉로17나길 94,연립다세대
서울특별시 영등포구 신길동,95-270,(95-270),월세,18.73,"3,000",50,도신로64길 19,연립다세대
서울특별시 영등포구 양평동4가,214,소미골드라인Ⅱ,월세,22.78,"24,600",20,선유로53길 34,연립다세대
서울특별시 영등포구 양평동4가,266-6,유양리버빌,전세,54.69,"25,000",0,선유로55길 5,연립다세대
서울특별시 송파구 송파동,102-14,자인,월세,29.89,"8,000",69,송이로4길 2,연립다세대
서울특별시 영등포구 도림동,205-2,새롬빌,월세,29.08,"19,000",70,도영로11길 9-1,연립다세대
서울특별시 관악구 신림동,355,화원그린빌라,전세,67.62,"15,000",0,양지길 67,연립다세대
서울특별시 관악구 신림동,598-24,성화주택가동,월세,54.14,"5,000",60,법원단지5라길 15,연립다세대
서울특별시 서초구 방배동,855-19,(855-19),전세,24.42,"21,400",0,방배로25길 42-25,연립다세대
서울특별시 강서구 화곡동,167-45,태영주택2,전세,39.24,"9,700",0,곰달래로35길 131,연립다세대
서울특별시 송파구 송파동,43-1,렉스프라자,전세,59.0,"30,000",0,백제고분로45길 11,연립다세대
서울특별시 강서구 화곡동,778-9,동원힐하우스,월세,12.6,"1,000",52,곰달래로57길 10-4,연립다세대
서울특별시 구로구 개봉동,342-2,대우스위트힐(342-2),월세,29.92,"13,000",50,개봉로11길 46-37,연립다세대
서울특별시 서초구 방배동,916-27,데코아트빌7차,전세,25.21,"35,800",0,효령로25길 5,연립다세대
서울특별시 동작구 신대방동,474-2,신흥하이츠빌라,월세,54.89,"6,000",70,여의대방로10가길 8,연립다세대
서울특별시 동작구 신대방동,366-1,대명빌라,전세,64.49,"31,100",0,여의대방로22나길 75,연립다세대
서울특별시 관악구 신림동,241-99,쏠시티,월세,29.25,"6,000",83,신림로11길 12,연립다세대
서울특별시 관악구 신림동,343-5,(343-5),전세,41.28,"10,000",0,광신5길 7,연립다세대
서울특별시 영등포구 양평동1가,194-1,우성하임,전세,28.73,"26,900",0,선유서로24길 26,연립다세대
서울특별시 관악구 신림동,412-22,대호빌라,전세,44.46,"15,000",0,문성로38길 28,연립다세대
서울특별시 관악구 신림동,1415-7,1415-7,월세,22.44,"5,000",90,신림로70길 69,연립다세대
서울특별시 관악구 신림동,103-230,으뜸캐슬,월세,24.98,"3,000",125,서림7길 66,연립다세대
서울특별시 구로구 구로동,807-50,(807-50),월세,32.22,"1,000",60,구로동로 86-5,연립다세대
서울특별시 관악구 신림동,1446-3,신림서희빌(1446-3),월세,32.1,"5,000",55,관천로26길 21,연립다세대
서울특별시 강서구 방화동,574-6,오누리빌,월세,28.62,"15,000",10,양천로24가길 27,연립다세대
서울특별시 동작구 상도동,299-43,명성하우스,전세,29.75,"27,000",0,국사봉6길 4-6,연립다세대
서울특별시 동작구 상도동,156-20,동화하우스,월세,17.54,"11,500",30,상도로34길 32,연립다세대
서울특별시 강서구 공항동,662-3,하나타운,전세,56.44,"24,000",0,방화대로7나길 4-11,연립다세대
서울특별시 서초구 방배동,807-22,방배하이빌10차,전세,44.54,"57,700",0,동광로22길 7,연립다세대
서울특별시 관악구 남현동,602-57,더트라이앵글3(602-57),전세,29.91,"12,000",0,승방6길 10,연립다세대
