시군구,번지,전월세구분,계약면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 강동구 성내동,3**,전세,35.0,"16,000",0,천호대로176길,단독다가구
서울특별시 강동구 성내동,4**,월세,33.0,"6,000",35,천호대로170길,단독다가구
서울특별시 송파구 오금동,1**,월세,20.0,"4,000",15,마천로25길,단독다가구
서울특별시 강동구 천호동,1**,전세,58.05,"26,250",0,성안로27길,단독다가구
서울특별시 강동구 성내동,3**,전세,26.75,"15,000",0,양재대로101길,단독다가구
서울특별시 강동구 천호동,1*,월세,47.19,"13,000",50,구천면로,단독다가구
서울특별시 송파구 석촌동,2**,월세,43.0,"2,000",70,가락로11길,단독다가구
서울특별시 송파구 석촌동,2**,월세,40.0,"5,000",62,가락로,단독다가구
서울특별시 강동구 성내동,2**,전세,35.0,"13,000",0,풍성로41길,단독다가구
서울특별시 강동구 천호동,1**,전세,19.83,"10,000",0,성안로31라길,단독다가구
서울특별시 강동구 성내동,4**,전세,56.19,"18,000",0,양재대로89길,단독다가구
서울특별시 강동구 암사동,4**,월세,40.0,"1,500",55,암사1가길,단독다가구
서울특별시 강동구 성내동,4**,전세,40.0,"14,800",0,강동대로51길,단독다가구
서울특별시 송파구 방이동,2**,월세,75.46,"3,000",130,위례성대로18길,단독다가구
서울특별시 강서구 화곡동,9**,월세,117.23,"28,000",10,까치산로18길,단독다가구
서울특별시 강서구 화곡동,1**,월세,51.8,"5,000",50,까치산로4라길,단독다가구
서울특별시 동작구 상도동,2**,월세,18.0,500,45,성대로21길,단독다가구
서울특별시 동작구 상도동,1**,전세,44.56,"25,000",0,장승배기로10길,단독다가구
서울특별시 동작구 상도동,2**,월세,12.0,500,50,성대로1길,단독다가구
서울특별시 강서구 방화동,3**,전세,39.68,"24,200",0,방화대로49길,단독다가구
서울특별시 구로구 개봉동,3**,월세,40.0,"2,000",65,개봉로11길,단독다가구
서울특별시 구로구 개봉동,1*,월세,41.22,"3,000",35,고척로21라길,단독다가구
서울특별시 강서구 등촌동,6**,전세,35.12,"8,000",0,화곡로68길,단독다가구
서울특별시 영등포구 당산동1가,1**,월세,29.72,"20,000",6,영신로39길,단독다가구
서울특별시 금천구 시흥동,8**,월세,31.96,"3,000",76,독산로40길,단독다가구
서울특별시 영등포구 신길동,6**,월세,16.0,500,33,신풍로23길,단독다가구
서울특별시 금천구 독산동,1**,월세,75.0,"2,000",55,독산로76길,단독다가구
서울특별시 구로구 구로동,4**,월세,42.41,"1,000",55,가마산로15가길,단독다가구
서울특별시 영등포구 대림동,8**,월세,18.0,200,32,대림로17길,단독다가구
서울특별시 영등포구 대림동,6**,월세,39.0,400,36,대림로34나길,단독다가구
서울특별시 영등포구 신길동,3**,월세,19.02,"1,000",50,도림로,단독다가구
서울특별시 구로구 고척동,1**,월세,33.0,500,45,고척로45길,단독다가구
서울특별시 양천구 신월동,6**,월세,66.11,"2,000",20,신월로24길,단독다가구
서울특별시 양천구 신월동,1**,전세,70.98,"12,000",0,곰달래로13길,단독다가구
서울특별시 구로구 구로동,3**,월세,119.0,500,40,가마산로,단독다가구
서울특별시 영등포구 신길동,2**,월세,44.04,"3,000",40,신길로43길,단독다가구
서울특별시 영등포구 신길동,3**,전세,62.34,"16,000",0,가마산로63길,단독다가구
서울특별시 영등포구 신길동,1***,전세,16.8,"11,000",0,여의대방로53가길,단독다가구
서울특별시 영등포구 당산동3가,4**,월세,38.4,"16,000",30,양산로17길,단독다가구
서울특별시 송파구 송파동,*,월세,56.1,"8,000",49,송파대로48길,단독다가구
서울특별시 양천구 목동,5**,월세,11.34,"2,000",28,목동중앙북로,단독다가구
서울특별시 양천구 목동,5**,월세,33.0,"5,000",58,목동중앙북로24길,단독다가구
서울특별시 양천구 목동,6**,월세,33.0,"1,000",60,목동중앙북로8길,단독다가구
서울특별시 강서구 화곡동,3**,전세,33.0,"13,000",0,강서로18길,단독다가구
서울특별시 강남구 역삼동,6**,월세,25.74,"1,000",92,봉은사로18길,단독다가구
서울특별시 중구 장충동2가,1**,월세,22.0,"1,000",55,동호로28길,단독다가구
서울특별시 강남구 개포동,1***,전세,20.52,"20,000",0,개포로31길,단독다가구
서울특별시 광진구 중곡동,1**,월세,45.0,"4,000",105,능동로47길,단독다가구
서울특별시 종로구 동숭동,2*,월세,22.0,"8,000",30,동숭3길,단독다가구
서울특별시 종로구 평창동,4**,월세,98.61,"50,000",100,평창길,단독다가구
서울특별시 성동구 하왕십리동,9**,전세,18.0,"5,000",0,무학봉12길,단독다가구
서울특별시 종로구 명륜3가,*,월세,15.0,500,50,명륜8길,단독다가구
서울특별시 종로구 체부동,9*,월세,18.0,"2,000",55,자하문로5길,단독다가구
서울특별시 용산구 이태원동,2**,월세,38.73,"2,000",150,회나무로10길,단독다가구
서울특별시 용산구 이태원동,4**,월세,25.56,500,50,녹사평대로40나길,단독다가구
서울특별시 광진구 중곡동,6**,월세,50.0,"6,000",75,긴고랑로14길,단독다가구
서울특별시 광진구 자양동,7**,월세,35.0,"8,000",40,자양로19길,단독다가구
서울특별시 성동구 마장동,3**,월세,18.0,"3,000",40,마조로12길,단독다가구
서울특별시 광진구 구의동,2*,전세,19.8,"6,000",0,자양로,단독다가구
서울특별시 광진구 구의동,2**,월세,43.0,"3,000",70,구의로4길,단독다가구
서울특별시 광진구 자양동,5**,월세,25.0,200,20,뚝섬로31가길,단독다가구
서울특별시 광진구 자양동,4*,월세,23.0,500,50,동일로10다길,단독다가구
서울특별시 광진구 중곡동,5*,전세,43.67,"12,000",0,천호대로117길,단독다가구
서울특별시 광진구 중곡동,6**,전세,42.0,"19,000",0,면목로,단독다가구
서울특별시 광진구 자양동,2**,전세,37.82,"15,000",0,동일로2길,단독다가구
서울특별시 중구 신당동,4**,전세,30.0,"5,500",0,동호로11나길,단독다가구
서울특별시 강남구 논현동,2**,월세,40.0,"20,000",55,선릉로127길,단독다가구
서울특별시 성동구 송정동,6*,월세,19.0,500,50,송정12길,단독다가구
서울특별시 중구 신당동,1**,월세,30.84,"9,500",20,퇴계로88길,단독다가구
서울특별시 광진구 중곡동,8*,월세,19.8,"4,000",15,긴고랑로38길,단독다가구
서울특별시 중랑구 망우동,4**,월세,50.0,"1,000",43,봉우재로70길,단독다가구
서울특별시 성북구 상월곡동,2*,월세,18.75,"4,000",35,화랑로18라길,단독다가구
서울특별시 중랑구 묵동,1**,전세,35.0,"18,000",0,동일로160길,단독다가구
서울특별시 동대문구 전농동,1**,월세,21.0,150,18,전농로27길,단독다가구
서울특별시 동대문구 장안동,1**,월세,30.0,"1,000",50,한천로14길,단독다가구
서울특별시 성북구 장위동,2**,월세,81.72,"19,000",55,돌곶이로41길,단독다가구
서울특별시 성북구 장위동,2**,월세,75.01,"15,000",50,장위로31길,단독다가구
서울특별시 성북구 정릉동,6**,월세,38.0,"5,000",45,솔샘로16길,단독다가구
서울특별시 광진구 화양동,4**,월세,20.31,"12,000",5,광나루로26길,단독다가구
서울특별시 중랑구 중화동,3**,월세,16.5,"3,000",40,동일로,단독다가구
서울특별시 성북구 안암동5가,1*,월세,25.0,"1,000",62,고려대로27길,단독다가구
서울특별시 중랑구 면목동,4**,월세,20.0,"10,000",4,면목로44길,단독다가구
서울특별시 중랑구 면목동,1**,월세,30.0,100,34,봉우재로20가길,단독다가구
서울특별시 중랑구 면목동,6**,월세,55.2,"3,000",65,면목로42길,단독다가구
서울특별시 성북구 동선동3가,3*,월세,107.97,"25,000",79,동소문로26라길,단독다가구
서울특별시 동대문구 회기동,1**,월세,25.0,300,45,회기로12나길,단독다가구
