시군구,번지,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 동작구 상도동,906,상도푸르지오클라베뉴,전세,59.8166,"46,000",0,성대로 164,아파트
서울특별시 동작구 상도동,414,건영,월세,114.96,"15,000",179,만양로 26,아파트
서울특별시 금천구 독산동,1155,금천롯데캐슬골드파크3차,월세,59.968,"30,000",130,시흥대로 291,아파트
서울특별시 영등포구 문래동6가,57,문래롯데캐슬,월세,53.75,"26,075",51,선유로9길 30,아파트
서울특별시 영등포구 문래동6가,11-1,유원문래,전세,84.98,"57,000",0,문래북로 22,아파트
서울특별시 영등포구 문래동6가,45,현대2차,전세,41.04,"28,000",0,문래로4길 6,아파트
서울특별시 영등포구 문래동6가,57,문래롯데캐슬,월세,51.25,"25,000",44,선유로9길 30,아파트
서울특별시 영등포구 문래동6가,57,문래롯데캐슬,월세,59.9,"25,000",69,선유로9길 30,아파트
서울특별시 영등포구 문래동5가,67,문래모아미래도,전세,84.75,"69,450",0,선유로9나길 5,아파트
서울특별시 구로구 항동,242,하버라인3단지,월세,59.86,"10,045",16,항동로 43,아파트
서울특별시 동작구 흑석동,341,아크로리버하임,전세,84.9184,"125,000",0,현충로 52,아파트
서울특별시 동작구 사당동,105,극동(105),전세,46.75,"45,000",0,동작대로29길 119,아파트
서울특별시 동작구 사당동,1160,사당롯데캐슬골든포레,월세,84.984,"10,000",240,사당로 90,아파트
서울특별시 동작구 사당동,1160,사당롯데캐슬골든포레,전세,84.9739,"76,650",0,사당로 90,아파트
서울특별시 동작구 사당동,1151,갑을명가,전세,81.6491,"60,000",0,솔밭로 65,아파트
서울특별시 영등포구 당산동,121-108,훼미리하우스138,전세,14.28,"11,400",0,버드나루로17길 2,아파트
서울특별시 영등포구 당산동,121-108,훼미리하우스138,월세,14.28,"11,400",13,버드나루로17길 2,아파트
서울특별시 영등포구 당산동,121-209,프리가,월세,14.06,"3,000",37,버드나루로 131,아파트
서울특별시 영등포구 당산동,121-26,브라보,전세,15.46,"18,300",0,버드나루로 103,아파트
서울특별시 영등포구 당산동,121-26,브라보,전세,17.0,"18,900",0,버드나루로 103,아파트
서울특별시 영등포구 당산동,121-26,브라보,전세,17.0,"18,600",0,버드나루로 103,아파트
서울특별시 영등포구 당산동,121-26,브라보,전세,15.46,"18,000",0,버드나루로 103,아파트
서울특별시 영등포구 당산동5가,41,반도유보라,전세,84.58,"75,000",0,당산로45길 7-3,아파트
서울특별시 영등포구 당산동5가,41,반도유보라,전세,84.58,"75,000",0,당산로45길 7-3,아파트
서울특별시 구로구 오류동,51-31,포스시티,월세,14.29,500,50,경인로20길 6,아파트
서울특별시 영등포구 당산동2가,165,한화포레나당산,월세,33.095,"22,292",23,당산로 83,아파트
서울특별시 영등포구 당산동2가,164,당산2가현대홈타운,월세,82.77,"5,000",200,당산로 95,아파트
서울특별시 금천구 가산동,140-9,가산지웰에스테이트,월세,15.09,400,53,가산로 147,아파트
서울특별시 동작구 신대방동,719,동작상떼빌,월세,132.43,"70,000",70,신대방1가길 38,아파트
서울특별시 관악구 봉천동,867-9,서울대역해담채,월세,15.02,"1,000",65,관악로15길 23-12,아파트
서울특별시 관악구 봉천동,1698-1,보라매삼성,월세,84.84,"30,000",120,보라매로 62,아파트
서울특별시 영등포구 여의도동,37,미성,전세,101.29,"80,000",0,의사당대로 110,아파트
서울특별시 영등포구 여의도동,50,시범,전세,118.12,"70,000",0,63로 45,아파트
서울특별시 영등포구 여의도동,54,진주,전세,48.26,"42,550",0,국제금융로 108-6,아파트
서울특별시 영등포구 여의도동,41,대교,월세,133.65,"10,000",240,국제금융로7길 20,아파트
서울특별시 구로구 고척동,342,벽산베스트블루밍,전세,84.896,"50,000",0,고척로60길 30,아파트
서울특별시 관악구 봉천동,1730,e편한세상서울대입구1단지,전세,84.97,"78,600",0,청룡10길 45,아파트
서울특별시 관악구 봉천동,296,낙성대현대(296),월세,59.78,"15,000",100,낙성대로 37,아파트
서울특별시 관악구 봉천동,1730,e편한세상서울대입구1단지,월세,59.9,"45,000",80,청룡10길 45,아파트
서울특별시 관악구 봉천동,1717,관악푸르지오,월세,84.75,"15,000",166,관악로30길 27,아파트
서울특별시 영등포구 영등포동7가,203,아크로타워스퀘어,전세,59.7,"82,000",0,국회대로54길 10,아파트
서울특별시 영등포구 영등포동1가,94-2,여의도더리브스타일,월세,14.8376,"18,400",15,경인로 900,아파트
서울특별시 영등포구 영등포동1가,94-2,여의도더리브스타일,월세,14.8376,"18,400",15,경인로 900,아파트
서울특별시 관악구 신림동,1694,신림현대,월세,59.85,"25,000",31,신림로29길 8,아파트
서울특별시 관악구 신림동,1694,신림현대,전세,59.85,"32,000",0,신림로29길 8,아파트
서울특별시 관악구 신림동,1694,신림현대,전세,82.2,"42,000",0,신림로29길 8,아파트
서울특별시 서초구 방배동,424-28,롯데캐슬아르떼,월세,84.9321,"60,000",270,방배천로18길 11,아파트
서울특별시 서초구 방배동,424-28,롯데캐슬아르떼,전세,147.7221,"160,000",0,방배천로18길 11,아파트
서울특별시 금천구 시흥동,1014,금광,전세,83.2925,"42,000",0,탑골로2길 24,아파트
서울특별시 금천구 시흥동,5-13,삼익,전세,84.96,"39,000",0,독산로50길 89,아파트
서울특별시 금천구 시흥동,1002-1,럭키남서울아파트,전세,49.79,"25,000",0,시흥대로47길 43,아파트
서울특별시 금천구 시흥동,791-40,SM엘루이,월세,71.09,"1,000",40,시흥대로37길 20,아파트
서울특별시 구로구 천왕동,281,천왕연지타운2단지,전세,59.98,"16,357",0,오리로 1102-10,아파트
서울특별시 구로구 천왕동,281,천왕연지타운2단지,전세,59.98,"16,357",0,오리로 1102-10,아파트
서울특별시 구로구 천왕동,281,천왕연지타운2단지,전세,84.97,"23,719",0,오리로 1102-10,아파트
서울특별시 구로구 천왕동,279-2,천왕이펜하우스2단지,전세,84.97,"56,700",0,천왕로 92,아파트
서울특별시 구로구 천왕동,279-2,천왕이펜하우스2단지,전세,84.97,"56,700",0,천왕로 92,아파트
서울특별시 은평구 응암동,769,녹번역e편한세상캐슬,전세,59.96,"66,000",0,은평로 220,아파트
서울특별시 서대문구 홍제동,157-68,광산,전세,52.53,"18,000",0,모래내로 455,아파트
서울특별시 은평구 불광동,645,불광롯데캐슬,전세,84.98,"44,000",0,불광로 64,아파트
서울특별시 은평구 불광동,248,라이프미성,월세,66.7,"10,000",90,통일로 780,아파트
서울특별시 은평구 불광동,248,라이프미성,전세,84.65,"39,500",0,통일로 780,아파트
서울특별시 서대문구 홍제동,474,홍제역해링턴플레이스,월세,84.95,"65,000",54,세무서8길 30,아파트
서울특별시 서대문구 남가좌동,376,남가좌동현대,월세,84.9,"5,000",170,가재울로 45,아파트
서울특별시 서대문구 남가좌동,385,DMC파크뷰자이1단지,월세,84.974,"30,000",210,가재울미래로 2,아파트
서울특별시 서대문구 홍제동,459,홍제원현대(459-0),전세,59.93,"55,000",0,통일로34길 43,아파트
서울특별시 은평구 신사동,370,은평신사두산위브,전세,84.997,"59,000",0,갈현로1길 36,아파트
서울특별시 은평구 신사동,355,현대2,월세,84.83,"8,000",110,가좌로 344,아파트
서울특별시 서대문구 홍제동,460,인왕산현대,월세,59.93,"39,000",30,통일로34길 46,아파트
서울특별시 노원구 중계동,502-1,중계그린1단지,전세,59.87,"35,000",0,동일로207길 17,아파트
서울특별시 서대문구 홍은동,186-1,홍은미성,전세,83.61,"41,000",0,연희로41길 114,아파트
서울특별시 노원구 하계동,354,학여울청구,전세,59.4,"43,000",0,동일로207길 186,아파트
서울특별시 노원구 하계동,284,한신1,월세,27.0,"1,000",67,공릉로 351,아파트
서울특별시 노원구 하계동,271-3,극동,전세,84.91,"50,000",0,섬밭로 229,아파트
서울특별시 노원구 중계동,502-1,중계그린1단지,전세,49.5,"28,000",0,섬밭로 285,아파트
서울특별시 서대문구 홍은동,186-1,홍은미성,전세,127.33,"55,000",0,연희로41길 114,아파트
서울특별시 서대문구 홍은동,453-2,풍림2,월세,58.5,"3,000",150,세검정로1길 35,아파트
서울특별시 서대문구 홍은동,464,북한산더샵,전세,84.747,"63,000",0,통일로 510,아파트
서울특별시 노원구 상계동,666,상계주공10(고층),월세,66.56,"10,000",120,노원로 564,아파트
서울특별시 은평구 진관동,102,박석고개1단지힐스테이트(116~131동)BL2-1,월세,59.63,"38,000",45,진관1로 21-10,아파트
서울특별시 은평구 진관동,140,폭포동4단지힐스테이트(408~422동)BL3-9,전세,101.97,"60,900",0,연서로44길 7,아파트
서울특별시 은평구 진관동,140,폭포동4단지힐스테이트(408~422동)BL3-9,전세,101.97,"60,900",0,연서로44길 7,아파트
서울특별시 은평구 진관동,140,폭포동4단지힐스테이트(408~422동)BL3-9,전세,101.97,"60,900",0,연서로44길 7,아파트
서울특별시 은평구 진관동,84,우물골2단지두산위브(223~244동)BL2-7,전세,84.69,"65,000",0,진관2로 57-37,아파트
서울특별시 노원구 하계동,280,미성,전세,118.52,"57,000",0,공릉로59길 28,아파트
서울특별시 은평구 응암동,764,백련산힐스테이트4차,월세,84.98,"40,000",150,백련산로 37,아파트
서울특별시 노원구 상계동,670,상계주공9(고층),전세,58.01,"28,000",0,노원로 532,아파트
서울특별시 노원구 상계동,1276,청암2단지,전세,59.4,"37,000",0,덕릉로94가길 20,아파트
서울특별시 은평구 응암동,769,녹번역e편한세상캐슬,월세,84.94,"25,000",140,은평로 220,아파트
서울특별시 은평구 응암동,768,백련산해모로,월세,84.91,"40,000",150,응암로30길 15,아파트
서울특별시 서대문구 북가좌동,431,DMC한양,전세,84.33,"46,000",0,응암로 28,아파트
서울특별시 노원구 월계동,925,대동,전세,59.76,"32,000",0,광운로 46,아파트
서울특별시 노원구 월계동,18,한진한화그랑빌,월세,114.97,"58,000",10,마들로 31,아파트
서울특별시 노원구 월계동,943,세양청마루,월세,84.957,"6,000",155,석계로13길 35,아파트
서울특별시 노원구 월계동,950,녹천역두산위브아파트,전세,84.8218,"32,000",0,마들로5길 25,아파트
서울특별시 노원구 중계동,502-1,중계그린1단지,월세,39.78,"3,500",90,동일로207길 17,아파트
서울특별시 서대문구 충정로3가,480,더스타일하우스디센트럴,월세,16.0626,"3,650",37,경기대로 26-26,아파트
서울특별시 서대문구 충정로3가,480,더스타일하우스디센트럴,월세,16.0626,"4,870",34,경기대로 26-26,아파트
서울특별시 은평구 수색동,417,DMC롯데캐슬더퍼스트,월세,59.96,"60,000",11,수색로 300,아파트
서울특별시 서대문구 남가좌동,387,디엠씨엘가,월세,30.36,"10,000",79,모래내로 151,아파트
서울특별시 노원구 월계동,13,미륭,전세,51.48,"15,750",0,마들로 111,아파트
서울특별시 노원구 월계동,13,미성,월세,50.14,"2,000",95,마들로 59,아파트
서울특별시 노원구 중계동,590,신안,월세,84.93,"30,000",45,덕릉로 595,아파트
서울특별시 노원구 상계동,652,상계주공11(고층),전세,58.01,"22,000",0,동일로227길 25,아파트
서울특별시 노원구 중계동,360-16,주공10,월세,58.14,"10,000",91,노원로22길 53,아파트
서울특별시 노원구 중계동,590,신안,전세,84.93,"57,750",0,덕릉로 595,아파트
서울특별시 노원구 상계동,670,상계주공9(고층),전세,41.3,"25,000",0,노원로 532,아파트
서울특별시 노원구 상계동,624,"상계주공15(고층,공무원임대)",월세,41.3,"2,726",25,동일로227길 26,아파트
서울특별시 노원구 상계동,624,"상계주공15(고층,공무원임대)",월세,49.94,"13,682",10,동일로227길 26,아파트
서울특별시 노원구 상계동,647,상계주공12(고층),월세,66.56,"11,000",120,한글비석로 530,아파트
서울특별시 서대문구 현저동,200,독립문극동(200-0),전세,84.87,"68,250",0,독립문공원길 17,아파트
서울특별시 노원구 상계동,624,"상계주공15(고층,공무원임대)",전세,41.3,"13,890",0,동일로227길 26,아파트
서울특별시 노원구 상계동,624,"상계주공15(고층,공무원임대)",월세,49.94,"3,420",40,동일로227길 26,아파트
서울특별시 노원구 상계동,691,상계주공7(고층),전세,45.55,"27,000",0,동일로 1456,아파트
서울특별시 노원구 상계동,359,노원현대,전세,84.78,"40,000",0,상계로3길 50,아파트
서울특별시 마포구 아현동,777,마포래미안푸르지오1단지,월세,84.8919,"30,000",305,마포대로 195,아파트
서울특별시 은평구 응암동,769,녹번역e편한세상캐슬,전세,59.96,"49,000",0,은평로 220,아파트
서울특별시 노원구 공릉동,748,신도1차아파트,전세,72.8129,"30,000",0,동일로191가길 59,아파트
서울특별시 노원구 상계동,624,"상계주공15(고층,공무원임대)",월세,41.3,"10,904",6,동일로227길 26,아파트
서울특별시 노원구 상계동,690,해링턴플레이스노원센트럴,월세,48.3698,"13,100",69,노원로 495,아파트
서울특별시 노원구 월계동,18,한진한화그랑빌,전세,84.97,"50,400",0,마들로 31,아파트
서울특별시 노원구 월계동,929,현대,전세,59.95,"43,000",0,석계로 49,아파트
서울특별시 노원구 월계동,556,주공2,전세,44.52,"19,000",0,초안산로1길 18,아파트
서울특별시 노원구 상계동,1282,상계2차중앙하이츠,월세,59.82,"35,500",10,노원로 428,아파트
서울특별시 서대문구 홍제동,331,홍제현대,월세,75.15,"5,000",210,통일로39가길 57,아파트
서울특별시 서대문구 홍제동,157-68,광산,전세,52.53,"18,000",0,모래내로 455,아파트
서울특별시 노원구 상계동,173-1,벽산,전세,75.03,"38,000",0,한글비석로 399,아파트
서울특별시 노원구 상계동,691,상계주공7(고층),전세,59.39,"36,000",0,상계로1길 92,아파트
서울특별시 노원구 상계동,652,상계주공11(고층),전세,59.39,"30,000",0,동일로227길 85,아파트
서울특별시 노원구 상계동,652,상계주공11(고층),월세,41.3,"10,000",39,동일로227길 25,아파트
서울특별시 노원구 상계동,1256,은빛2단지,전세,59.95,"32,000",0,동일로245가길 41,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2275,"3,979",18,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2275,"2,064",22,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"13,219",21,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2275,"9,449",15,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2275,"9,449",15,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"13,219",21,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2275,"9,449",15,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"9,959",38,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2275,"9,449",15,통일로 767,아파트
서울특별시 마포구 아현동,777,마포래미안푸르지오3단지,전세,59.9452,"70,560",0,마포대로 195,아파트
서울특별시 은평구 응암동,760,백련산힐스테이트2차,월세,59.63,"3,000",128,백련산로 38,아파트
서울특별시 은평구 응암동,769,녹번역e편한세상캐슬,전세,59.96,"49,000",0,은평로 220,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"13,219",21,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"13,219",21,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"11,959",28,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"4,124",43,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,36.2415,"13,219",21,통일로 767,아파트
서울특별시 은평구 응암동,769,녹번역e편한세상캐슬,월세,114.94,"85,100",20,은평로 220,아파트
서울특별시 은평구 구산동,159-10,브라운스톤구산,월세,84.89,"30,000",50,갈현로17길 17,아파트
서울특별시 은평구 구산동,548,은평서해그랑블,전세,59.6483,"37,500",0,서오릉로 253,아파트
서울특별시 은평구 응암동,760,백련산힐스테이트2차,전세,84.37,"53,000",0,백련산로 38,아파트
서울특별시 은평구 갈현동,456-25,THESTUDIO163,월세,17.89,"6,300",43,연서로27길 4,아파트
서울특별시 송파구 장지동,844,송파파인타운7단지,전세,84.94,"85,000",0,충민로4길 19,아파트
서울특별시 송파구 장지동,833,송파파인타운1단지,전세,84.95,"79,000",0,충민로 188,아파트
서울특별시 송파구 장지동,847,송파파인타운6단지,월세,84.98,"20,000",220,충민로6길 14,아파트
서울특별시 송파구 잠실동,27,주공아파트 5단지,월세,82.51,"20,000",165,송파대로 567,아파트
서울특별시 송파구 잠실동,44,레이크팰리스,전세,116.19,"140,000",0,잠실로 88,아파트
서울특별시 송파구 잠실동,35,트리지움,전세,59.88,"108,000",0,잠실로 62,아파트
서울특별시 강동구 상일동,519,고덕아르테온,전세,84.93,"89,500",0,고덕로 360,아파트
서울특별시 강동구 상일동,519,고덕아르테온,월세,59.98,"40,000",70,고덕로 360,아파트
서울특별시 서초구 반포동,18-1,래미안퍼스티지,월세,84.93,"40,000",510,반포대로 275,아파트
서울특별시 강동구 길동,414-6,신암가온,월세,56.7,"5,000",110,천호대로177길 55,아파트
서울특별시 강동구 길동,416-13,드림하이츠,월세,30.19,"1,000",80,천호대로173길 37,아파트
서울특별시 강동구 길동,456-3,강동큐브,월세,12.49,500,58,천호대로175길 16,아파트
서울특별시 송파구 문정동,150,올림픽훼밀리타운,전세,117.585,"78,750",0,중대로 24,아파트
서울특별시 송파구 잠실동,22,리센츠,월세,27.68,"10,000",116,올림픽로 135,아파트
서울특별시 송파구 잠실동,22,리센츠,월세,27.68,"2,000",230,올림픽로 135,아파트
서울특별시 송파구 문정동,150,올림픽훼밀리타운,전세,158.705,"127,000",0,중대로 24,아파트
서울특별시 서초구 양재동,154-2,우성,전세,73.15,"72,000",0,바우뫼로 91,아파트
서울특별시 강동구 고덕동,693,고덕그라시움,전세,59.028,"65,000",0,고덕로 333,아파트
서울특별시 서초구 반포동,54-5,반포두산힐스빌,월세,47.7,"20,000",96,고무래로10길 16,아파트
서울특별시 서초구 반포동,20-43,반포자이,전세,59.98,"130,000",0,신반포로 270,아파트
서울특별시 서초구 반포동,60-4,반포미도,월세,84.96,"60,000",80,서초중앙로29길 28,아파트
서울특별시 송파구 가락동,78-1,한화오벨리스크,월세,25.32,"1,000",65,중대로 127,아파트
서울특별시 송파구 가락동,78-1,한화오벨리스크,월세,25.32,"6,000",55,중대로 127,아파트
서울특별시 강동구 고덕동,210-1,고덕센트럴푸르지오,월세,59.14,"10,000",260,고덕로 399,아파트
서울특별시 서초구 잠원동,162,반포센트럴자이,월세,84.98,"20,000",610,반포대로 310-6,아파트
서울특별시 송파구 가락동,913,헬리오시티,월세,39.1,"14,204",20,송파대로 345,아파트
서울특별시 서초구 우면동,717,서초네이처힐3단지,전세,84.61,"44,415",0,태봉로2길 60,아파트
서울특별시 서초구 우면동,717,서초네이처힐3단지,전세,84.77,"53,287",0,태봉로2길 60,아파트
서울특별시 송파구 잠실동,22,리센츠,전세,84.99,"108,100",0,올림픽로 135,아파트
서울특별시 송파구 방이동,89,올림픽선수기자촌2단지,전세,126.18,"130,000",0,양재대로 1218,아파트
서울특별시 송파구 방이동,89,올림픽선수기자촌1단지,전세,100.82,"94,500",0,양재대로 1218,아파트
서울특별시 송파구 잠실동,27,주공아파트 5단지,월세,81.75,"30,000",75,송파대로 567,아파트
서울특별시 송파구 잠실동,101-1,우성아파트,전세,160.74,"110,000",0,올림픽로4길 42,아파트
서울특별시 강동구 상일동,514,고덕롯데캐슬베네루체,전세,84.923,"80,000",0,상암로79길 88,아파트
서울특별시 강동구 상일동,514,고덕롯데캐슬베네루체,전세,84.146,"80,000",0,상암로79길 88,아파트
서울특별시 송파구 방이동,89,올림픽선수기자촌2단지,전세,126.18,"110,000",0,양재대로 1218,아파트
서울특별시 강동구 명일동,270,삼익가든,전세,146.54,"69,000",0,상암로 225,아파트
서울특별시 송파구 잠실동,27,주공아파트 5단지,전세,82.61,"55,000",0,송파대로 567,아파트
서울특별시 강동구 명일동,15,삼익그린2차,전세,66.87,"45,000",0,고덕로 210,아파트
서울특별시 송파구 신천동,17,파크리오,전세,59.95,"85,000",0,올림픽로 435,아파트
서울특별시 송파구 신천동,17,파크리오,월세,144.77,"50,000",400,올림픽로 435,아파트
서울특별시 송파구 신천동,11,장미2,전세,82.45,"75,000",0,올림픽로35길 104,아파트
서울특별시 송파구 신천동,17,파크리오,월세,59.64,"60,000",43,올림픽로 435,아파트
서울특별시 송파구 거여동,294,거여5단지,전세,59.74,"49,000",0,양산로4길 16,아파트
서울특별시 강동구 명일동,270,삼익가든,전세,57.01,"33,000",0,상암로 224,아파트
서울특별시 송파구 오금동,43,현대(2-4차),월세,84.98,"10,000",270,오금로35길 17,아파트
서울특별시 강동구 고덕동,693,고덕그라시움,전세,59.785,"66,150",0,고덕로 333,아파트
서울특별시 강동구 고덕동,688,래미안힐스테이트고덕,전세,84.83,"87,000",0,아리수로50길 50,아파트
서울특별시 송파구 신천동,17,파크리오,전세,84.79,"107,000",0,올림픽로 435,아파트
서울특별시 송파구 신천동,11,장미2,전세,82.45,"75,000",0,올림픽로35길 104,아파트
서울특별시 송파구 거여동,597,송파레이크파크호반써밋Ⅰ,전세,108.8119,"81,900",0,위례송파로 40,아파트
서울특별시 송파구 신천동,11,장미2,월세,82.45,"55,000",60,올림픽로35길 104,아파트
서울특별시 서초구 서초동,1685-3,아크로비스타,월세,101.81,"100,000",260,서초중앙로 188,아파트
서울특별시 서초구 서초동,1444-7,서초자이,월세,133.47,"110,000",160,효령로68길 81,아파트
서울특별시 서초구 서초동,1685,삼풍아파트,전세,79.47,"77,700",0,서초중앙로 200,아파트
서울특별시 서초구 서초동,1597-6,DK밸리뷰서초2차,월세,26.39,"1,000",150,사임당로 34,아파트
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,전세,84.98,"115,500",0,서운로 197,아파트
서울특별시 서초구 서초동,1644,현대서초3,월세,84.49,"73,000",14,사임당로23길 58,아파트
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,월세,133.45,"120,000",155,서운로 197,아파트
서울특별시 서초구 서초동,1682,서초래미안,월세,127.66,"20,000",465,서초대로65길 13-10,아파트
서울특별시 서초구 서초동,1757,서초그랑자이,전세,84.51,"190,000",0,효령로 391,아파트
서울특별시 강동구 길동,353-40,유덕휴먼빌,전세,81.94,"55,000",0,천중로54길 9-14,아파트
서울특별시 송파구 거여동,294,거여5단지,전세,59.74,"44,100",0,양산로4길 16,아파트
서울특별시 강동구 둔촌동,546,신성둔촌미소지움1,월세,59.78,"22,200",90,명일로 102,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,84.9979,"38,201",0,올림픽로91길 30,아파트
서울특별시 강동구 천호동,453-5,로데오팰리스,월세,14.41,"1,000",80,천호대로159길 20,아파트
서울특별시 강동구 천호동,568,강변그대가리버뷰,전세,84.97,"69,000",0,올림픽로89길 58,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.9958,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.9958,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 성내동,545-7,집앤사비디아파트,월세,32.8,"11,000",140,성내로 81,아파트
서울특별시 강동구 성내동,457-4,동원,전세,59.91,"47,550",0,성내로6나길 27,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.8917,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.8917,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.9958,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.8917,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.8917,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 둔촌동,451-1,대경베일리,전세,54.1117,"52,500",0,진황도로 165,아파트
서울특별시 마포구 마포동,253,마포쌍용황금아파트,전세,59.9,"49,000",0,마포대로4라길 30,아파트
서울특별시 마포구 상암동,1655,상암월드컵파크4단지,월세,84.66,"10,000",270,상암산로1길 24,아파트
서울특별시 마포구 상암동,1736,상암월드컵파크10단지,월세,59.76,"9,849",16,월드컵북로 502-36,아파트
서울특별시 마포구 상암동,1736,상암월드컵파크10단지,전세,84.89,"42,262",0,월드컵북로 502-36,아파트
서울특별시 양천구 신정동,743-2,신정6현대,전세,59.4,"38,000",0,신정로 170,아파트
서울특별시 강서구 화곡동,1159,"우장산아이파크,이편한세상",전세,84.97,"78,500",0,강서로 266,아파트
서울특별시 강서구 화곡동,919-1,유림노르웨이숲(919-1),월세,64.05,"8,000",110,곰달래로 96,아파트
서울특별시 강서구 화곡동,343-49,혜성오피아파트,전세,29.44,"19,400",0,강서로 43-6,아파트
서울특별시 강서구 화곡동,343-49,혜성오피아파트,전세,29.44,"20,000",0,강서로 43-6,아파트
서울특별시 강서구 화곡동,1152,보람,월세,84.98,"39,000",25,월정로16길 38,아파트
서울특별시 마포구 망원동,489,성원2,월세,59.43,"5,000",130,망원로4길 8,아파트
서울특별시 양천구 신월동,1075,목동센트럴아이파크위브1단지,월세,59.97,"37,000",30,남부순환로83길 17,아파트
서울특별시 양천구 신월동,1075,목동센트럴아이파크위브1단지,월세,59.97,"37,000",50,남부순환로83길 17,아파트
서울특별시 양천구 신월동,1024,신월휘버스,전세,81.48,"35,000",0,신월로22길 10,아파트
서울특별시 양천구 신월동,547-1,명산그린빌,전세,81.51,"39,000",0,남부순환로 565,아파트
서울특별시 양천구 신월동,1017,대방샤인힐,전세,59.648,"36,500",0,신월로9길 37,아파트
서울특별시 양천구 신월동,987-1,신월시영,전세,43.2,"20,000",0,신월로 99,아파트
서울특별시 양천구 신월동,987-1,신월시영,월세,59.49,"7,000",120,신월로 99,아파트
서울특별시 강서구 화곡동,1091,화곡푸르지오,월세,156.876,"65,000",80,화곡로13길 107,아파트
서울특별시 양천구 목동,912,목동신시가지5,월세,65.08,"44,000",38,목동동로 350,아파트
서울특별시 양천구 신정동,311,목동신시가지10,전세,70.2,"65,000",0,목동서로 400,아파트
서울특별시 양천구 신정동,314,목동신시가지8,전세,54.94,"52,000",0,목동서로 280,아파트
서울특별시 구로구 구로동,1281,한일유앤아이,전세,84.962,"43,000",0,가마산로 87,아파트
서울특별시 강서구 등촌동,720,문원Stay,월세,15.34,"3,000",46,양천로 516,아파트
서울특별시 강서구 등촌동,695,주공5,전세,58.14,"39,300",0,공항대로39길 74,아파트
서울특별시 양천구 신월동,1074,스위트드림아파트,전세,52.16,"33,000",0,곰달래로11길 56,아파트
서울특별시 강서구 염창동,289,신동아,전세,59.82,"43,500",0,양천로67길 32,아파트
서울특별시 강서구 염창동,291,현대3,전세,83.71,"57,000",0,양천로75길 60,아파트
서울특별시 강서구 염창동,291,현대3,전세,83.71,"57,000",0,양천로75길 60,아파트
서울특별시 강서구 등촌동,688,주공3,전세,58.14,"41,000",0,강서로56나길 37,아파트
서울특별시 강서구 방화동,860,마곡서광(치현마을),전세,59.67,"39,000",0,양천로27길 129,아파트
서울특별시 강서구 염창동,299,강변힐스테이트,월세,84.99,"30,000",160,양천로75길 19,아파트
서울특별시 강서구 방화동,873,마곡우림1차아파트,월세,59.901,"35,000",50,양천로24길 34,아파트
서울특별시 마포구 성산동,446,성산시영(선경),월세,50.54,"5,000",120,월드컵북로 235,아파트
서울특별시 마포구 도화동,555,한화오벨리스크,월세,49.87,"2,000",200,마포대로 33,아파트
서울특별시 구로구 구로동,1257,럭키,월세,71.4,"20,000",57,도림로 107,아파트
서울특별시 마포구 공덕동,464,래미안공덕4차,전세,83.42,"82,950",0,마포대로11길 50,아파트
