시군구,번지,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 중랑구 중화동,453,청광플러스원,전세,84.96,"58,800",0,동일로136길 15,아파트
서울특별시 도봉구 창동,808,동아청솔,전세,59.96,"37,000",0,노해로69길 103,아파트
서울특별시 성북구 길음동,1288,래미안길음센터피스,전세,84.99,"60,840",0,숭인로 50,아파트
서울특별시 성북구 정릉동,239,정릉풍림아이원,전세,84.09,"49,000",0,솔샘로25길 28,아파트
서울특별시 성북구 안암동5가,160-16,(160-16),월세,45.97,"1,000",90,개운사길 83-15,아파트
서울특별시 도봉구 창동,347,창동주공3단지(해등마을),전세,49.94,"35,000",0,해등로 50,아파트
서울특별시 도봉구 방학동,271-1,신동아아파트1,전세,70.62,"26,000",0,방학로 193,아파트
서울특별시 광진구 자양동,87-1,한강우성,전세,84.72,"78,000",0,능동로1길 15,아파트
서울특별시 광진구 자양동,520-2,우성2,전세,64.79,"43,000",0,뚝섬로 576,아파트
서울특별시 성북구 하월곡동,88-510,삼전솔하임3차,월세,15.62,"1,000",55,동소문로46길 18,아파트
서울특별시 도봉구 창동,373,창동주공4단지,전세,41.3,"22,000",0,덕릉로 350,아파트
서울특별시 동대문구 휘경동,376,서울휘경행복아파트,월세,14.97,"3,672",15,장안벚꽃로 317,아파트
서울특별시 광진구 자양동,783-1,자양우성7,월세,59.94,"60,000",20,아차산로36길 39,아파트
서울특별시 중랑구 망우동,620,중랑숲시티프라디움,월세,55.8,"14,767",55,양원역로10길 47,아파트
서울특별시 중랑구 망우동,620,중랑숲시티프라디움,월세,55.95,"14,807",56,양원역로10길 47,아파트
서울특별시 중랑구 망우동,608,LH서울양원1단지,월세,14.96,"3,563",13,양원역로 92,아파트
서울특별시 동대문구 휘경동,376,서울휘경행복아파트,월세,14.97,"3,672",15,장안벚꽃로 317,아파트
서울특별시 동대문구 휘경동,376,서울휘경행복아파트,월세,14.97,"3,672",15,장안벚꽃로 317,아파트
서울특별시 동대문구 휘경동,376,서울휘경행복아파트,월세,14.97,"3,672",15,장안벚꽃로 317,아파트
서울특별시 동대문구 휘경동,376,서울휘경행복아파트,월세,14.97,"3,672",15,장안벚꽃로 317,아파트
서울특별시 동대문구 휘경동,376,서울휘경행복아파트,월세,14.97,"3,672",15,장안벚꽃로 317,아파트
서울특별시 동대문구 휘경동,376,서울휘경행복아파트,월세,14.97,"3,672",15,장안벚꽃로 317,아파트
서울특별시 중랑구 면목동,1543,한양수자인사가정파크,월세,74.9394,"20,000",210,사가정로72길 26,아파트
서울특별시 중랑구 망우동,608,LH서울양원1단지,월세,44.55,"3,242",47,양원역로 92,아파트
서울특별시 중랑구 망우동,608,LH서울양원1단지,월세,14.96,"3,365",13,양원역로 92,아파트
서울특별시 중랑구 망우동,608,LH서울양원1단지,월세,26.75,296,6,양원역로 92,아파트
서울특별시 양천구 신정동,326,목동신시가지12,전세,56.76,"39,000",0,목동동로 50,아파트
서울특별시 양천구 신월동,1051,정은스카이빌2차,전세,84.979,"47,500",0,신월로9길 36,아파트
서울특별시 마포구 성산동,134-2,가좌행복주택,월세,16.19,"3,960",17,성암로 28,아파트
서울특별시 양천구 목동,945,목동노블레스,월세,69.02,"20,000",160,목동중앙남로 12-3,아파트
서울특별시 양천구 신월동,1078,목동센트럴아이파크위브4단지,월세,59.68,"20,000",160,남부순환로83길 47,아파트
서울특별시 강서구 마곡동,1589,마곡힐스테이트,전세,59.99,"48,048",0,마곡중앙3로 74,아파트
서울특별시 강서구 마곡동,750,마곡엠벨리(14단지),전세,59.79,"48,048",0,마곡중앙로 33,아파트
서울특별시 강서구 마곡동,747,마곡엠밸리10단지,전세,59.79,"48,048",0,마곡중앙1로 72,아파트
서울특별시 마포구 합정동,381-16,KCC엠파이어리버,전세,140.88,"95,500",0,양화로 26,아파트
서울특별시 마포구 상수동,402,래미안밤섬리베뉴Ⅰ,월세,84.99,"30,000",290,독막로20나길 22,아파트
서울특별시 강서구 마곡동,747,마곡엠밸리10단지,전세,59.87,"48,048",0,마곡중앙1로 72,아파트
서울특별시 마포구 창전동,449,마포웨스트리버태영데시앙,전세,102.7,"110,000",0,서강로3길 32,아파트
서울특별시 강서구 마곡동,743-4,마곡엠밸리7단지,전세,59.79,"48,048",0,마곡서로 133,아파트
서울특별시 양천구 목동,911,목동신시가지6,전세,47.94,"42,000",0,목동동로 430,아파트
서울특별시 마포구 현석동,225,래미안웰스트림,월세,59.96,"10,000",240,토정로18길 11,아파트
서울특별시 강서구 화곡동,911-10,삼성홈타운,전세,75.35,"21,500",0,월정로14길 64,아파트
서울특별시 양천구 신정동,334,쌍용,전세,84.63,"59,000",0,신목로 16,아파트
서울특별시 마포구 성산동,134-2,가좌행복주택,월세,16.19,"3,960",17,성암로 28,아파트
서울특별시 마포구 성산동,134-2,가좌행복주택,월세,16.19,"3,960",17,성암로 28,아파트
서울특별시 강서구 마곡동,744,마곡엠밸리9단지,전세,59.86,"51,012",0,공항대로 103,아파트
서울특별시 마포구 서교동,494,서교동효성해링턴타워,월세,37.17,"13,760",75,양화로 72,아파트
